County,oneweek_cumulative_incidence,twoweek_cumulative_incidence,oneweek_average_positivity,twoweek_average_positivity,county_size,,fips,mmwr_week,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,series_complete_yes,series_complete_pop_pct,booster_doses,booster_doses_vax_pct,svi_ctgy,series_complete_pop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,census2019
Montezuma County,595.6,1353.6,0.088,0.123,"30,000 or less",,8083,45,97.3,17263,65.9,14630,55.9,,,B,8,Non-metro,8,26183
Montrose County,670.3,1450.4,0.145,0.151,">30,000",,8085,45,97.3,20572,48.1,18401,43,,,C,11,Non-metro,7,42758
Morgan County,360.8,711.3,0.084,0.09,"30,000 or less",,8087,45,97.3,13569,46.7,12216,42,,,C,11,Non-metro,7,29068
Otero County,530.1,926.4,0.059,0.047,"30,000 or less",,8089,45,97.3,8486,46.4,7934,43.4,,,D,15,Non-metro,7,18278
Ouray County,368.8,799,0.096,0.09,"30,000 or less",,8091,45,97.3,3267,66,2948,59.5,,,A,4,Non-metro,8,4952
Park County,252.5,700.1,0.118,0.134,"30,000 or less",,8093,45,97.3,8815,46.8,8252,43.8,,,A,3,Metro,3,18845
Phillips County,265.1,419.7,0.132,0.091,"30,000 or less",,8095,45,97.3,2229,52.3,1976,46.3,,,B,7,Non-metro,7,4265
Pitkin County,155.5,328.3,0.06,0.062,"30,000 or less",,8097,45,97.3,16162,91,13075,73.6,,,A,4,Non-metro,8,17767
Prowers County,482.7,1098.6,0.105,0.121,"30,000 or less",,8099,45,97.3,5140,42.2,4679,38.4,,,D,14,Non-metro,6,12172
Pueblo County,586.6,1190.4,0.105,0.099,">30,000",,8101,45,97.3,93019,55.2,84887,50.4,,,D,16,Metro,4,168424
Rio Blanco County,811.1,1622.3,0.109,0.119,"30,000 or less",,8103,45,97.3,2513,39.7,2216,35,,,B,6,Non-metro,6,6324
Rio Grande County,458.7,900,0.1,0.081,"30,000 or less",,8105,45,97.3,6921,61.4,6342,56.3,,,D,16,Non-metro,8,11267
Routt County,495.1,905.7,0.107,0.094,"30,000 or less",,8107,45,97.3,19200,74.9,17661,68.9,,,A,4,Non-metro,8,25638
Saguache County,421,670.4,0.16,0.133,"30,000 or less",,8109,45,97.3,2326,34.1,2209,32.4,,,D,14,Non-metro,6,6824
San Juan County,280.1,420.2,0.143,0.172,"30,000 or less",,8111,45,97.3,705,96.8,641,88,,,A,4,Non-metro,8,728
San Miguel County,173.6,434.1,0.077,0.038,"30,000 or less",,8113,45,97.3,6882,84.1,6124,74.9,,,A,4,Non-metro,8,8179
Sedgwick County,207.6,539.6,0.032,0.045,"30,000 or less",,8115,45,97.3,1149,51.1,1056,47,,,C,11,Non-metro,7,2248
Summit County,364.3,677,0.117,0.117,">30,000",,8117,45,97.3,26541,85.6,23785,76.7,,,A,4,Non-metro,8,31011
Teller County,270.4,670,0.109,0.117,"30,000 or less",,8119,45,97.3,13250,52.2,12635,49.8,,,A,3,Metro,3,25388
Washington County,393.5,931.9,0.119,0.106,"30,000 or less",,8121,45,97.3,1500,30.6,1353,27.6,,,B,5,Non-metro,5,4908
Weld County,444.2,844.8,0.125,0.119,">30,000",,8123,45,97.3,187498,57.8,173708,53.5,,,B,8,Metro,4,324492
Yuma County,370,700.1,0.215,0.185,"30,000 or less",,8125,45,97.3,4315,43.1,3915,39.1,,,C,10,Non-metro,6,10019
